movie_key,tmdb_id,imdb_id,title,original_title,release_date_key,original_language,runtime_minutes,status,budget_usd,primary_genre,secondary_genre,collection_name,rating_key,popularity,vote_average,vote_count,production_companies,director_popularity,cast_popularity,max_cast_popularity,date_key,date,day,month,month_name,year,week_of_year,weekday_name,rating_code,rating_description,opening_weekend_gross_usd,opening_source,opening_source_url,studios_from_dim,director_has_prior,director_prior_count,director_recent_opening,lead_actor_has_prior,lead_actor_prior_count,lead_actor_recent_opening
1204,20036,tt1094198,The Prince & Me: A Royal Honeymoon,The Prince & Me: A Royal Honeymoon,20081028,en,92.0,Released,0.0,Romance,Comedy,The Prince & Me Collection,79,0.5376,5.6,132.0,"Nu Image, Millennium Media",1.2022,0.96264,1.777,20081028,2008-10-28,28,10,October,2008,43,Tuesday,PG,,,,,"Millennium Media, Nu Image",1,8,,1,12,23281.0
1205,20069,tt0847745,Manuale d'amore 2 (capitoli successivi),Manuale d'amore 2 (capitoli successivi),20070119,it,125.0,Released,0.0,Romance,Comedy,Manual of Love Collection,89,0.5651,5.372,289.0,Filmauro,1.8328,2.20168,7.256,20070119,2007-01-19,19,1,January,2007,2,Friday,T,,8025468.0,bom,https://www.boxofficemojo.com/title/tt0847745/,Filmauro,1,9,997007.0,1,38,2529564.0
1206,20048,tt1093908,Confessions of a Shopaholic,Confessions of a Shopaholic,20090205,en,104.0,Released,40000000.0,Comedy,Romance,,79,3.6234,6.482,2722.0,"Touchstone Pictures, Jerry Bruckheimer Films",0.2683,3.82104,5.2989,20090205,2009-02-05,5,2,February,2009,5,Thursday,PG,,15066360.0,bom,https://www.boxofficemojo.com/title/tt1093908/,"Jerry Bruckheimer Films, Touchstone Pictures",1,7,11139495.0,1,15,45012998.0
1207,20033,tt1106447,Mulligans,Mulligans,20080518,en,90.0,Released,0.0,Drama,Romance,,28,0.338,6.172,99.0,Border2Border Entertainment,0.3088,0.60244,0.8956,20080518,2008-05-18,18,5,May,2008,20,Sunday,18A,,,,,Border2Border Entertainment,0,0,,1,9,14276534.0
1208,20072,tt1068632,Agathe Cléry,Agathe Cléry,20081111,fr,113.0,Released,0.0,Comedy,,,39,0.6173,4.796,179.0,TF1 Films Production,0.1976,0.6256600000000001,1.0051,20081111,2008-11-11,11,11,November,2008,45,Tuesday,AL,,,,,TF1 Films Production,1,7,20730.0,1,18,2070297.0
1209,20083,tt1075419,Shinjuku Incident,新宿事件,20090322,cn,119.0,Released,15000000.0,Drama,Action,,83,2.4576,6.7,311.0,"JCE Movies, Emperor Motion Pictures, Kantana Studios, AOI Pro.",0.8504,5.549360000000001,23.1732,20090322,2009-03-22,22,3,March,2009,12,Sunday,R,,133890.0,bom,https://www.boxofficemojo.com/title/tt1075419/,"AOI Pro., Emperor Motion Pictures, JCE Movies, Kantana Studios",1,12,3913.0,1,136,60239130.0
1210,20093,tt0467017,Straight from the Barrio,Talento de Barrio,20081010,es,107.0,Released,1500000.0,Drama,Action,,83,0.6133,8.045,144.0,ArtFilms,0.4397,0.5593600000000001,1.53,20081010,2008-10-10,10,10,October,2008,40,Friday,R,,36118.0,bom,https://www.boxofficemojo.com/title/tt0467017/,ArtFilms,1,1,,1,4,
1211,20181,tt0970462,Tunnel Rats,Tunnel Rats,20080531,en,96.0,Released,8000000.0,Action,Drama,,83,0.7751,5.0,88.0,"Boll KG, Horst Hermann Medienproduktion, ZenHQ Films",1.1898,1.1790600000000002,1.8247,20080531,2008-05-31,31,5,May,2008,21,Saturday,R,,33795.0,bom,https://www.boxofficemojo.com/title/tt0970462/,"Boll KG, Horst Hermann Medienproduktion, ZenHQ Films",1,15,3265000.0,1,62,79353.0
1212,20178,tt1262981,World's Greatest Dad,World's Greatest Dad,20090820,en,99.0,Released,10000000.0,Comedy,Drama,,83,0.9258,6.6,639.0,"Magnolia Pictures, Darko Entertainment, Jerkschool Productions, Process Media, Process Productions",1.679,1.4799000000000002,3.9838,20090820,2009-08-20,20,8,August,2009,33,Thursday,R,,4675.0,bom,https://www.boxofficemojo.com/title/tt1262981/,"Darko Entertainment, Jerkschool Productions, Magnolia Pictures, Process Media, Process Productions",1,6,10890.0,1,151,16443.0
1213,20268,tt1280567,Last Stop 174,Última Parada 174,20081024,pt,108.0,Released,4700002.0,Drama,Crime,,22,0.8154,7.195,187.0,"Paramount Pictures, Moonshot Pictures, TeleImage, Movi&Art Produções Cinematográficas, Lereby Produções",0.7879,0.4499599999999999,0.5841,20081024,2008-10-24,24,10,October,2008,42,Friday,16,,6651.0,bom,https://www.boxofficemojo.com/title/tt1280567/,"Lereby Produções, Moonshot Pictures, Movi&Art Produções Cinematográficas, Paramount Pictures, TeleImage",1,20,335433.0,1,2,7895.0
