movie_key,tmdb_id,imdb_id,title,original_title,release_date_key,original_language,runtime_minutes,status,budget_usd,primary_genre,secondary_genre,collection_name,rating_key,popularity,vote_average,vote_count,production_companies,director_popularity,cast_popularity,max_cast_popularity,date_key,date,day,month,month_name,year,week_of_year,weekday_name,rating_code,rating_description,opening_weekend_gross_usd,opening_source,opening_source_url,studios_from_dim,director_has_prior,director_prior_count,director_recent_opening,lead_actor_has_prior,lead_actor_prior_count,lead_actor_recent_opening
1178,19658,tt1017456,Race,Race,20080320,hi,161.0,Released,0.0,Drama,Action,Race Collection,8,1.0126,6.051,128.0,"UTV Motion Pictures, Tips Industries, Films & Casting TEMPLE",0.29,2.54446,4.8684,20080320,2008-03-20,20,3,March,2008,11,Thursday,12,,802254.0,bom,https://www.boxofficemojo.com/title/tt1017456/,"Films & Casting TEMPLE, Tips Industries, UTV Motion Pictures",1,13,153040.0,1,42,1500000.0
1179,19703,tt1280558,A Wednesday!,A Wednesday!,20080905,hi,103.0,Released,1400000.0,Drama,Thriller,,93,0.7739,7.003,351.0,UTV Motion Pictures,1.4167,0.97848,1.4276,20080905,2008-09-05,5,9,September,2008,35,Friday,UA,,3256911.0,bom,https://www.boxofficemojo.com/title/tt1280558/,UTV Motion Pictures,0,0,,1,233,1135200.0
1180,19672,tt1230165,Rock On!!,Rock On!!,20080829,hi,144.0,Released,7000000.0,Drama,,Rock On Collection,92,0.4074,6.824,105.0,"Excel Entertainment, Reliance Entertainment",0.8839,1.41398,2.0956,20080829,2008-08-29,29,8,August,2008,34,Friday,U,,37193.0,bom,https://www.boxofficemojo.com/title/tt1230165/,"Excel Entertainment, Reliance Entertainment",1,1,,0,0,
1181,19724,tt0780567,Imagine That,Imagine That,20090619,en,107.0,Released,55000000.0,Family,Comedy,,79,3.1726,5.971,588.0,"Internationale Filmproduktion Stella-del-Sud Third, Paramount Pictures, Nickelodeon Movies, di Bonaventura Pictures, Goldcrest",2.6157,1.95186,4.8057,20090619,2009-06-19,19,6,June,2009,24,Friday,PG,,5503519.0,bom,https://www.boxofficemojo.com/title/tt0780567/,"Goldcrest, Internationale Filmproduktion Stella-del-Sud Third, Nickelodeon Movies, Paramount Pictures, di Bonaventura Pictures",1,1,38457003.0,1,60,5251918.0
1182,19823,tt0963965,Dolan's Cadillac,Dolan's Cadillac,20090701,en,89.0,Released,10000000.0,Crime,Thriller,,83,0.7175,5.897,160.0,"Minds Eye Entertainment, Film Bridge International, Footprint Investments, Prescience",1.8644,1.9339000000000002,3.0629,20090701,2009-07-01,1,7,July,2009,26,Wednesday,R,,,,,"Film Bridge International, Footprint Investments, Minds Eye Entertainment, Prescience",1,4,,1,66,7803347.0
1183,19794,tt1231287,Labor Pains,Labor Pains,20090619,en,89.0,Released,10000000.0,Comedy,,,80,0.8892,5.416,447.0,"Grand Army Entertainment, Latitude Films, Overnight Films, Millennium Media, Nu Image",1.0469,1.65866,3.0428,20090619,2009-06-19,19,6,June,2009,24,Friday,PG-13,,,,,"Grand Army Entertainment, Latitude Films, Millennium Media, Nu Image, Overnight Films",1,1,,1,18,3506291.0
1184,19824,tt1276434,Van Wilder: Freshman Year,Van Wilder: Freshman Year,20090602,en,100.0,Released,6000000.0,Comedy,Romance,National Lampoon's Van Wilder Collection,83,1.9785,5.43,345.0,"Tapestry Films, Starz Media, Paramount Famous Productions",1.1658,0.9416,1.2662,20090602,2009-06-02,2,6,June,2009,22,Tuesday,R,,20543.0,bom,https://www.boxofficemojo.com/title/tt1276434/,"Paramount Famous Productions, Starz Media, Tapestry Films",1,2,2484624.0,1,6,9309387.0
1185,19833,tt1226774,In the Loop,In the Loop,20090122,en,106.0,Released,1100000.0,Comedy,,,78,1.2407,7.044,757.0,"Aramid Entertainment, BBC Film, UK Film Council, Protagonist Pictures",1.3523,1.97512,3.2047,20090122,2009-01-22,22,1,January,2009,3,Thursday,NR,,191866.0,bom,https://www.boxofficemojo.com/title/tt1226774/,"Aramid Entertainment, BBC Film, Protagonist Pictures, UK Film Council",1,4,,1,53,192902.0
1186,19840,tt1032815,"I Love You, Beth Cooper","I Love You, Beth Cooper",20090710,en,102.0,Released,18000000.0,Comedy,Romance,,80,2.1426,5.999,943.0,"Fox Atomic, 1492 Pictures, Bece Canada Productions, Dune Entertainment III, Ingenious Media",2.2645,1.34486,3.2689,20090710,2009-07-10,10,7,July,2009,27,Friday,PG-13,,4919433.0,bom,https://www.boxofficemojo.com/title/tt1032815/,"1492 Pictures, Bece Canada Productions, Dune Entertainment III, Fox Atomic, Ingenious Media",1,13,10016021.0,1,23,2032.0
1187,19851,tt0758751,Grey Gardens,Grey Gardens,20090621,en,104.0,Released,12000000.0,History,Drama,,79,0.7162,6.839,149.0,"Specialty Films, Locomotive, HBO Films, etc.films",1.0553,2.53358,5.4119,20090621,2009-06-21,21,6,June,2009,25,Sunday,PG,,,,,"HBO Films, Locomotive, Specialty Films, etc.films",0,0,,1,78,4650812.0
1188,19899,tt1078940,Couples Retreat,Couples Retreat,20090919,en,113.0,Released,70000000.0,Comedy,Romance,,80,3.0567,5.551,2063.0,"Stuber Pictures, Universal Pictures, Relativity Media, Wild West Picture Show Productions",0.7657,2.5583,3.4652,20090919,2009-09-19,19,9,September,2009,37,Saturday,PG-13,,34286740.0,bom,https://www.boxofficemojo.com/title/tt1078940/,"Relativity Media, Stuber Pictures, Universal Pictures, Wild West Picture Show Productions",0,0,,1,42,31069826.0
1189,19898,tt1188729,Pandorum,Pandorum,20090908,en,108.0,Released,33000000.0,Action,Horror,,83,2.9394,6.587,2581.0,"Impact Pictures, Studio Babelsberg, Summit Entertainment, Constantin Film, Overture Films",0.4887,1.8877000000000002,3.5045,20090908,2009-09-08,8,9,September,2009,36,Tuesday,R,,4424126.0,bom,https://www.boxofficemojo.com/title/tt1188729/,"Constantin Film, Impact Pictures, Overture Films, Studio Babelsberg, Summit Entertainment",1,3,5350570.0,1,21,132398.0
1190,19904,tt0814335,The Stepfather,The Stepfather,20091016,en,101.0,Released,20000000.0,Horror,Thriller,,80,2.6782,5.816,950.0,"Screen Gems, Maverick Films, Imprint Pictures",0.4226,2.61638,4.7782,20091016,2009-10-16,16,10,October,2009,41,Friday,PG-13,,11581586.0,bom,https://www.boxofficemojo.com/title/tt0814335/,"Imprint Pictures, Maverick Films, Screen Gems",1,7,20804941.0,1,31,19253.0
1191,19901,tt0433362,Daybreakers,Daybreakers,20100106,en,98.0,Released,20000000.0,Action,Fantasy,,83,4.3015,6.281,2116.0,"Lionsgate, Pictures in Paradise, Pacific Film and Television Commission, Furst Films, Australian Film Finance Corporation",0.7559499999999999,3.1027600000000004,5.1717,20100106,2010-01-06,6,1,January,2010,1,Wednesday,R,,15146692.0,bom,https://www.boxofficemojo.com/title/tt0433362/,"Australian Film Finance Corporation, Furst Films, Lionsgate, Pacific Film and Television Commission, Pictures in Paradise",1,3,8527.0,1,48,385483.0
1192,19905,tt1092633,"The Goods: Live Hard, Sell Hard","The Goods: Live Hard, Sell Hard",20090529,en,89.0,Released,10000000.0,Comedy,,,83,0.8229,5.381,235.0,"Kevin Messick Productions, Paramount Vantage, Gary Sanchez Productions",0.3842,2.2750399999999997,2.7946,20090529,2009-05-29,29,5,May,2009,21,Friday,R,,5642137.0,bom,https://www.boxofficemojo.com/title/tt1092633/,"Gary Sanchez Productions, Kevin Messick Productions, Paramount Vantage",1,1,,1,54,144701.0
1193,19912,tt1144884,The Final Destination,The Final Destination,20090826,en,82.0,Released,40000000.0,Horror,Mystery,Final Destination Collection,83,3.9534,5.616,3818.0,"Parallel Zide, New Line Cinema, Practical Pictures, FlipZide",0.3966,1.7037799999999996,3.9455,20090826,2009-08-26,26,8,August,2009,34,Wednesday,R,,27408309.0,bom,https://www.boxofficemojo.com/title/tt1144884/,"FlipZide, New Line Cinema, Parallel Zide, Practical Pictures",1,5,13850000.0,1,3,
1194,19929,tt1278293,9to5: Days in Porn,9to5: Days in Porn,20080824,en,113.0,Released,0.0,Documentary,,,26,1.5862,5.798,89.0,"Casa Bonita, F24 Film",0.3764,29.220599999999997,110.109,20080824,2008-08-24,24,8,August,2008,34,Sunday,18,,,,,"Casa Bonita, F24 Film",1,1,,1,84,
1195,19908,tt1156398,Zombieland,Zombieland,20091002,en,87.0,Released,23600000.0,Comedy,Horror,Zombieland Collection,83,6.9677,7.3,12965.0,"Columbia Pictures, Relativity Media, Pariah",1.134,5.00432,9.5326,20091002,2009-10-02,2,10,October,2009,39,Friday,R,,24733155.0,bom,https://www.boxofficemojo.com/title/tt1156398/,"Columbia Pictures, Pariah, Relativity Media",1,3,,1,14,94936.0
1196,19913,tt1022603,(500) Days of Summer,(500) Days of Summer,20090717,en,95.0,Released,7500000.0,Comedy,Drama,,80,9.3757,7.3,10855.0,"Fox Searchlight Pictures, Watermark Pictures, Dune Entertainment III",0.7715,3.52952,6.3641,20090717,2009-07-17,17,7,July,2009,28,Friday,PG-13,,834501.0,bom,https://www.boxofficemojo.com/title/tt1022603/,"Dune Entertainment III, Fox Searchlight Pictures, Watermark Pictures",1,2,,1,32,10741.0
1197,19918,tt1186370,Spread,Spread,20090116,en,98.0,Released,0.0,Comedy,Romance,,83,2.8588,5.541,922.0,"Oceana Media Finance, Barbarian Films, Katalyst Films, Voltage Pictures",2.8995,3.43888,4.517,20090116,2009-01-16,16,1,January,2009,2,Friday,R,,122948.0,bom,https://www.boxofficemojo.com/title/tt1186370/,"Barbarian Films, Katalyst Films, Oceana Media Finance, Voltage Pictures",1,10,13490.0,1,18,20172474.0
1198,19994,tt1131734,Jennifer's Body,Jennifer's Body,20090918,en,107.0,Released,16000000.0,Horror,Comedy,,83,6.2739,5.988,4143.0,"Fox Atomic, Dubiecki/Novick/Reitman Productions, Dune Entertainment",1.3747,3.68048,9.0736,20090918,2009-09-18,18,9,September,2009,37,Friday,R,,6868397.0,bom,https://www.boxofficemojo.com/title/tt1131734/,"Dubiecki/Novick/Reitman Productions, Dune Entertainment, Fox Atomic",1,2,12661112.0,1,8,108966307.0
1199,19959,tt0986263,Surrogates,Surrogates,20090924,en,89.0,Released,80000000.0,Science Fiction,Action,,80,3.8882,6.137,3367.0,"Wintergreen Productions, Touchstone Pictures, Mandeville Films, Top Shelf Productions",0.4604,3.898179999999999,6.994,20090924,2009-09-24,24,9,September,2009,38,Thursday,PG-13,,14902692.0,bom,https://www.boxofficemojo.com/title/tt0986263/,"Mandeville Films, Top Shelf Productions, Touchstone Pictures, Wintergreen Productions",1,7,44041440.0,1,83,192508.0
1200,19995,tt0499549,Avatar,Avatar,20091216,en,162.0,Released,237000000.0,Action,Adventure,Avatar Collection,80,31.851,7.6,33516.0,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Film Partners",3.0071,4.52728,7.0998,20091216,2009-12-16,16,12,December,2009,50,Wednesday,PG-13,,77025481.0,bom,https://www.boxofficemojo.com/title/tt0499549/,"20th Century Fox, Dune Entertainment, Ingenious Film Partners, Lightstorm Entertainment",1,13,479368.0,1,13,42558390.0
1201,20016,tt0892109,Trailer Park of Terror,Trailer Park of Terror,20081021,en,98.0,Released,0.0,Horror,,,83,0.3254,4.791,90.0,Trailer Park Partners,0.2227,0.77376,1.5766,20081021,2008-10-21,21,10,October,2008,42,Tuesday,R,,,,,Trailer Park Partners,1,3,133784.0,1,17,1200000.0
1202,20002,tt1091229,Chandni Chowk to China,चांदनी चौक टू चाइना,20090115,hi,154.0,Released,12000000.0,Action,Adventure,,8,1.151,4.9,84.0,"Warner Bros. Pictures, People Tree Films, Ramesh Sippy Enterprises, Benetone Films, Warner Bros. India, China Film Group Corporation",0.5202,3.3058199999999998,8.4893,20090115,2009-01-15,15,1,January,2009,2,Thursday,12,,629921.0,bom,https://www.boxofficemojo.com/title/tt1091229/,"Benetone Films, China Film Group Corporation, People Tree Films, Ramesh Sippy Enterprises, Warner Bros. India, Warner Bros. Pictures",1,2,949000.0,1,86,1154528.0
1203,20034,tt1093369,Hush,Hush,20080813,en,91.0,Released,1.0,Thriller,Horror,,18,1.8047,5.6,157.0,"UK Film Council, EM Media, Screen Yorkshire, Fear Factory, Shona Productions, Film4 Productions, Pathe, Warp X",0.3557,1.09312,1.6316,20080813,2008-08-13,13,8,August,2008,32,Wednesday,15,,64054.0,bom,https://www.boxofficemojo.com/title/tt1093369/,"EM Media, Fear Factory, Film4 Productions, Pathe, Screen Yorkshire, Shona Productions, UK Film Council, Warp X",1,1,,1,11,70523.0
